=== surveillance mise en ligne apporta.fr — démarrée 2026-09-03 12:08 ===
[12:13] DNS propagé → 185.199.110.153
[12:13] http://apporta.fr → HTTP 200
[12:13] certificat : pas encore émis
[12:18] certificat : pas encore émis
[12:23] certificat : pas encore émis
[12:28] certificat : pas encore émis
[12:33] certificat : pas encore émis
[12:38] certificat : pas encore émis
[12:43] certificat : pas encore émis
[12:48] certificat : pas encore émis
[12:53] certificat : pas encore émis
[12:58] certificat : pas encore émis
[13:03] certificat : pas encore émis
[13:08] certificat : pas encore émis
[13:13] certificat : pas encore émis
[13:18] certificat : pas encore émis
[13:23] certificat : pas encore émis
[13:28] certificat : pas encore émis
[13:33] certificat : pas encore émis
[13:38] certificat : pas encore émis
[13:43] certificat : pas encore émis
[13:48] certificat : pas encore émis
[13:53] certificat : pas encore émis
